Gender,Age,Education,Occupation,State,Relationship_Status,Obligation_Rating,Obligation_Category,NEP,Vacation_Behaviour,Rest_and_relax,Luxury_be spoilt,Do_sports,excitement_a_challenge,Not_exceed_planned_budget,Realise_creativity,Fun_and_entertainment,Good_company,Health_and_beauty,Free_and_easy_going,Entertainment_facilities,Not_care_about_prices,Life_style_of_the_local_people,Intense_Experience_of_Nature,Cosiness_or_Familiar_Atmosphere,Maintain_Unspoilt_Surroundings,Everything_Organised,Unspoilt_Nature_or_Natural_Landscape,Cultural_Offers,Change_of_Surroundings,Income_Doller_k,Expenditure_Doller_k
Female,35,7,manager or administrator,VIC,living with a partner,3.800,Q2,4.667,2.967,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,yes,24,73
Male,33,7,manager or administrator,VIC,single,4.600,Q4,4.133,4.000,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,25,5
Female,37,1,professional,VIC,living with a partner,4.500,Q4,3.400,2.833,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,25,73
Male,57,6,professional,SA,married,4.433,Q4,4.267,2.654,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,28,14
Male,45,6,manager or administrator,NSW,married,3.067,Q1,2.933,2.300,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,28,82
Female,26,7,professional,VIC,living with a partner,4.367,Q4,3.400,3.440,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,28,32
Male,42,7,manager or administrator,VIC,married,3.333,Q1,4.200,1.800,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,28,61
Male,27,7,professional,VIC,single,3.667,Q2,3.600,2.278,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,29,31
Male,43,8,professional,WA,married,3.767,Q2,3.467,3.143,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,29,87
Male,41,7,manager or administrator,QLD,married,3.700,Q2,3.067,2.533,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,yes,30,4
Female,37,7,manager or administrator,VIC,married,4.033,Q3,4.267,2.933,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,30,73
Male,38,7,manager or administrator,NSW,married,2.933,Q1,3.200,2.367,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,33,4
Female,39,8,professional,NSW,single,3.600,Q2,3.667,3.367,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,33,92
Male,22,3,Clerical or service worker,ACT,single,4.633,Q4,4.400,3.867,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,33,14
Male,48,8,small business owner,QLD,married,3.300,Q1,2.933,2.100,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,33,81
Male,56,8,manager or administrator,NSW,married,3.167,Q1,3.133,2.233,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,34,17
Male,70,8,professional,NSW,living with a partner,4.000,Q3,3.133,2.875,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,34,73
Male,25,4,manager or administrator,NSW,single,2.267,Q1,3.067,2.379,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,37,26
Male,58,4,small business owner,NSW,married,3.233,Q1,2.867,3.000,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,37,75
Female,27,8,,NSW,living with a partner,3.933,Q3,3.533,2.353,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,38,35
Female,25,6,professional,NSW,living with a partner,3.767,Q2,4.200,3.714,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,38,92
Male,38,3,manager or administrator,QLD,living with a partner,3.733,Q2,3.933,2.250,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,39,36
Female,37,7,manager or administrator,SA,living with a partner,3.400,Q2,3.600,1.767,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,39,61
Male,18,7,,QLD,single,3.967,Q3,3.733,3.158,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,39,28
Male,35,7,professional,NSW,living with a partner,3.833,Q3,3.600,2.773,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,39,65
Female,36,7,home-duties,NSW,married,3.867,Q3,4.533,3.571,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,40,55
Female,34,4,Clerical or service worker,SA,married,3.200,Q1,3.200,2.316,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,40,47
Female,45,7,professional,NSW,married,3.433,Q2,3.467,2.500,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,40,42
Male,69,2,manager or administrator,NSW,separated or divorced,3.367,Q1,4.333,3.074,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,40,42
Male,28,6,manager or administrator,NSW,living with a partner,3.633,Q2,2.867,3.200,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,42,52
Male,28,2,manager or administrator,NSW,living with a partner,3.133,Q1,3.000,2.652,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,42,60
Female,32,3,manager or administrator,QLD,single,3.700,Q2,3.667,3.579,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes,43,54
Male,46,6,manager or administrator,NT,living with a partner,4.433,Q4,4.000,3.828,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,yes,43,60
Male,20,7,sales,VIC,single,3.833,Q3,3.667,2.483,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,43,45
Female,56,8,professional,QLD,married,4.200,Q3,4.200,3.615,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,43,41
Male,57,8,professional,VIC,separated or divorced,3.133,Q1,2.800,4.444,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,44,50
Male,64,6,retired,NSW,separated or divorced,4.533,Q4,4.133,3.733,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,44,46
Female,23,7,sales,NSW,living with a partner,3.833,Q3,3.867,2.633,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,46,51
Female,62,7,Clerical or service worker,SA,living with a partner,3.800,Q2,3.133,2.800,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,46,46
Male,54,8,professional,QLD,married,3.533,Q2,3.133,3.160,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,46,56
Male,68,4,retired,VIC,living with a partner,3.467,Q2,3.933,3.034,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,46,55
Female,55,2,home-duties,NSW,married,3.833,Q3,4.600,2.586,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,47,52
Male,62,7,professional,VIC,married,3.833,Q3,4.467,3.286,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,47,59
Female,51,7,Clerical or service worker,ACT,living with a partner,1.733,Q1,2.667,3.000,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,48,51
Female,60,2,home-duties,SA,living with a partner,4.333,Q4,3.600,4.118,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,yes,48,59
Female,30,7,professional,WA,married,3.567,Q2,3.867,1.867,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,48,50
Female,62,1,home-duties,VIC,married,4.100,Q3,4.000,3.714,yes,no,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,48,48
Male,48,1,small business owner,NSW,married,3.500,Q2,3.267,3.045,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,48,59
Male,54,1,transport worker,NSW,married,3.767,Q2,3.933,2.567,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,48,47
Female,34,2,small business owner,NSW,married,3.333,Q1,2.867,2.926,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,49,55
Female,29,7,professional,NSW,married,4.333,Q4,3.867,2.393,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,49,42
Male,66,,,QLD,married,3.867,Q3,3.800,2.625,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,50,49
Female,58,4,retired,NSW,married,4.567,Q4,3.800,3.067,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,50,56
Male,36,3,professional,WA,married,3.433,Q2,3.600,3.320,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,54,47
Male,28,6,labourer,VIC,single,3.000,Q1,3.400,3.800,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,54,54
Male,55,6,professional,NSW,separated or divorced,3.800,Q2,3.533,1.552,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,54,53
Female,36,3,Clerical or service worker,VIC,living with a partner,4.467,Q4,3.733,2.846,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,54,48
Male,33,4,manager or administrator,WA,single,3.333,Q1,3.400,3.364,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,54,52
Male,35,8,manager or administrator,VIC,single,4.067,Q3,3.933,3.467,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,54,42
Male,18,6,,NSW,single,4.000,Q3,2.800,2.632,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,54,51
Male,65,6,retired,VIC,married,4.200,Q3,3.667,2.654,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,54,55
Male,25,6,labourer,NSW,married,4.000,Q3,3.533,2.929,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,54,41
Female,31,3,small business owner,QLD,married,4.567,Q4,3.800,3.478,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,54,44
Female,37,2,sales,QLD,married,4.200,Q3,3.267,2.300,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,54,57
Male,33,6,professional,QLD,married,4.133,Q3,3.800,2.733,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,54,46
Male,59,,,WA,married,3.800,Q2,4.133,2.967,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,57,58
Female,64,4,transport worker,VIC,widowed,4.500,Q4,3.200,3.083,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,57,55
Female,35,6,home-duties,WA,married,3.267,Q1,2.667,2.138,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,58,60
Male,37,2,labourer,QLD,married,3.967,Q3,3.400,3.214,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,58,46
Male,76,,professional,Tas,married,3.300,Q1,3.333,1.533,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,59,55
Male,55,8,professional,VIC,married,3.167,Q1,3.867,2.933,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,59,41
Male,54,8,professional,NSW,living with a partner,4.500,Q4,4.400,3.958,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,60,49
Male,49,1,manager or administrator,VIC,married,3.633,Q2,3.333,2.345,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,60,40
Female,55,7,home-duties,VIC,married,3.267,Q1,4.000,2.150,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,60,42
Male,63,2,retired,NSW,married,3.467,Q2,3.333,2.158,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,60,52
Female,69,4,retired,VIC,widowed,3.767,Q2,4.000,2.759,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,60,47
Female,46,4,professional,NSW,single,4.233,Q4,4.267,4.125,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,60,50
Female,61,2,manager or administrator,NSW,separated or divorced,3.833,Q3,3.067,3.000,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,61,42
Male,28,7,manager or administrator,NSW,living with a partner,3.733,Q2,3.933,2.800,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,61,49
Female,33,7,professional,NSW,single,4.467,Q4,3.800,3.267,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,62,41
Female,30,3,Clerical or service worker,VIC,married,3.600,Q2,3.800,3.333,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,62,48
Male,50,7,professional,SA,single,4.033,Q3,2.933,3.080,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,62,59
Male,23,7,professional,VIC,single,3.933,Q3,4.133,2.370,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,62,55
Female,58,1,home-duties,NSW,separated or divorced,4.033,Q3,3.067,1.733,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,62,56
Female,35,8,professional,WA,married,3.067,Q1,3.467,,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,62,42
Male,22,6,sales,VIC,single,2.933,Q1,2.333,2.652,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,63,50
Male,39,3,tradesperson,QLD,married,3.967,Q3,3.933,2.867,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,63,46
Female,35,3,professional,NSW,living with a partner,4.200,Q3,3.667,2.100,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,63,43
Male,21,7,sales,NSW,single,3.433,Q2,4.133,2.148,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,63,48
Male,62,8,professional,VIC,married,3.633,Q2,2.933,2.571,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,63,52
Male,24,8,professional,NSW,single,3.267,Q1,3.400,2.294,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,63,54
Male,49,4,Clerical or service worker,NSW,married,4.100,Q3,3.000,3.577,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,64,42
Female,41,1,sales,SA,married,4.133,Q3,4.333,3.172,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,64,46
Male,21,6,unemployed,NSW,single,3.600,Q2,4.067,2.929,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,65,48
Male,37,6,labourer,SA,married,1.000,Q1,5.000,2.033,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,65,50
Female,28,6,professional,ACT,married,3.967,Q3,3.333,2.300,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,65,43
Male,59,8,professional,SA,single,3.867,Q3,3.600,1.852,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,65,59
Male,37,7,manager or administrator,NSW,married,3.667,Q2,3.733,2.727,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,67,43
Female,31,6,Clerical or service worker,NSW,married,3.933,Q3,4.267,3.227,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,67,57
Male,59,6,retired,NSW,married,4.067,Q3,3.400,3.250,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,67,56
Female,42,3,Clerical or service worker,WA,married,3.133,Q1,3.267,2.542,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,67,40
Female,52,2,small business owner,ACT,married,4.100,Q3,4.200,2.714,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,69,58
Female,61,1,labourer,WA,separated or divorced,4.733,Q4,4.600,3.875,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,69,91
Female,60,3,home-duties,SA,married,4.367,Q4,4.200,3.889,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,70,29
Male,30,7,professional,WA,married,3.833,Q3,3.200,2.793,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,70,77
Female,35,7,sales,VIC,single,2.267,Q1,3.267,2.346,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,71,35
Male,39,7,professional,WA,single,3.067,Q1,4.067,2.417,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,71,95
Male,36,8,manager or administrator,WA,married,2.000,Q1,2.467,1.600,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,71,11
Male,25,7,professional,NSW,married,3.900,Q3,4.333,3.033,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,71,75
Female,31,1,home-duties,VIC,living with a partner,4.300,Q4,3.400,3.000,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,71,9
Male,35,8,professional,QLD,married,3.767,Q2,3.600,1.833,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,71,75
Male,40,8,professional,QLD,married,4.100,Q3,3.933,2.867,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,72,34
Male,58,1,retired,QLD,married,4.967,Q4,4.267,3.679,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,72,71
Female,65,3,retired,NSW,married,2.567,Q1,4.467,2.000,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,73,5
Male,59,4,manager or administrator,NSW,married,2.800,Q1,2.600,2.222,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,73,88
Female,41,3,home-duties,QLD,married,3.533,Q2,3.400,3.000,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,73,7
Female,45,1,home-duties,SA,separated or divorced,4.233,Q4,4.067,3.500,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,73,73
Female,49,1,sales,WA,living with a partner,3.667,Q2,3.467,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,74,10
Female,23,7,professional,WA,living with a partner,2.800,Q1,2.267,1.967,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,74,72
Male,58,7,small business owner,NSW,separated or divorced,3.467,Q2,3.333,2.300,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,75,5
Female,61,1,home-duties,QLD,married,4.033,Q3,3.600,3.690,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,75,93
Female,40,4,professional,VIC,living with a partner,4.100,Q3,3.133,3.947,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,76,40
Female,33,2,unemployed,NSW,married,5.000,Q4,2.533,3.633,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,76,87
Male,59,1,retired,QLD,married,3.100,Q1,2.933,2.833,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,77,12
Male,54,7,manager or administrator,VIC,married,4.300,Q4,4.133,3.261,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,77,97
Male,27,7,manager or administrator,Tas,single,2.700,Q1,2.267,3.261,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,77,36
Male,41,8,sales,VIC,married,3.133,Q1,3.067,2.367,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,77,74
Female,32,7,home-duties,NSW,married,3.633,Q2,4.067,2.680,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,78,22
Female,41,8,professional,VIC,single,4.167,Q3,4.667,4.190,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,78,90
Male,50,7,Clerical or service worker,NSW,married,4.133,Q3,3.533,2.875,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,78,17
Male,21,7,sales,VIC,single,3.800,Q2,3.800,2.276,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,78,88
Male,45,6,transport worker,QLD,married,4.033,Q3,3.667,2.696,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,78,20
Male,71,1,retired,Tas,living with a partner,3.800,Q2,3.000,2.500,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,78,76
Male,37,8,professional,NSW,married,3.967,Q3,3.867,4.190,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,78,16
Female,40,2,Clerical or service worker,NSW,married,3.333,Q1,3.867,2.214,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,78,89
